title,artist,duration_seconds,youtube_id,genres
One Day,Matisyahu,3:26,kS9uTiEY9ag,israeli-rap-hip-hop
זה בדם שלי,טדי נגוסה & יסמין מועלם,2:51,ajN_M2k_STM,israeli-pop
הכל ורוד,אפוקליפסה,5:17,3jSadX1SLCQ,israeli-pop
כלבויניקית,איזי,3:37,VrnMA9YinRY,israeli-pop
בין הבודדים,איזי,2:57,OqZKnR87v1g,israeli-pop
סבבה 5,פלד,3:36,T1Pe0Gxbx5c,israeli-pop
יהיה  בסדר,קפה שחור חזק & נצ'י נצ',4:26,PQp2a_yunmM,israeli-pop


# ISRAELI-COVER
שלח לי מלאך,ארקדי דוכין,2:26,7TG-zc1lm8M,israeli-cover
חוץ מכדורגל,חנן בן ארי & פאר טסי,4:44,4NKTH-TfTHQ,israeli-cover
שאריות של החיים,יובל דיין,1:52,IXuL4izCILw,israeli-cover
אור הירח,יסמין מועלם & טונה,3:28,ZYKxNokdn7M,israeli-cover
אחלום לנצח,פלד,2:51,4jIgPwIMkL0,israeli-cover
הביאו את הסתיו,נגה ארז,3:51rhScr3h6kx0,israeli-cover
שיר של יום חולין,מאור כהן,3:50,jdl9g1w2HFo,israeli-cover
היהודים,אצלך בעולם,4:44,P6KnK0cVdhA,israeli-cover
אני גיטרה,דודו טסה,3:30,erGG9tlYbBk,israeli-cover
זה קורה,ישי לוי & רבקה זזר,4:00,cS77AV6Rlt4,israeli-cover

