title,artist,duration_seconds,youtube_id,genres
Californiacation,Red Hot Chili Peppers,321,6L0LIo35sF4,rock
Sweet Home Alabama,Lynyrd Skynyrd,283,-p8GXZcdrIk,rock
Last Resort,Papa Roach,198,j0lSpNtjPM8,rock
Iris,Goo Goo Dolls,289,xK4ZqrLys_k,rock
Boulevard of Broken Dreams,Green Day,262,hBvJyi3fbtA,rock
Sex Is On Fire,Kings of Leon,202,RF0HhrwIwp0,rock
It's My Life,Bon Jovi,224,2AB-ieB0sTg,rock
Creep,Radiohead,238,fAuT8_dboWo,rock
Feel Good,Gorillaz,239,IbpOfzrNjTY,rock
Enter Sandman,Metallica,331,XZuM4zFg-60,rock
Nothing Else Matters,Metallica,388,tAGnKpE4NCI,rock
Have You Ever Seen The Rain?,Creedence Clearwater Revival,186,u1V8YRJnr4Q,rock
Dreams,Fleetwood Mac,257,5oWyMakvQew,rock
Welcome To The Jungle,Guns N' Roses,274,9erLsEHAZRI,rock
Sultan's of Swing,Dire Straits,346,0fAQhSRLQnM,rock
I Don't wan't to Miss a Thing,Armageddon,295,Jz8TZrGAoiU,soundtracks
I'm Gonna Be (500 Miles),How I Met Your Mother,219,aJ9usrpAPao,soundtracks
Welcome To The Black Parade,My Chemical Romance,312,RRKJiM9Njr8,rock
Basket Case,Green Day,183,NUTGr5t3MoY,rock
In the Shadows,The Rasmus,220,_ao2u7F_Qzg,rock
Grace Kelly,Mika,219,0CGVgAYJyjk,pop
Relax - Take It Easy,Mika,231,RVmG_d3HKBA,pop
Love Today,Mika,219,AWiccrTB4LM,pop
Lollipop,Mika,219,6md5RSnVUuo,pop
Faded,Alan Walker,212,60ItHLz5WEA,electronic
Stereo Love,Edward Maya & Vika Jigulina,227,sCfdE36OPsU,electronic
Chandelier,Sia,216,2vjPBrBU-TM,pop
Just Give Me a Reason,P!nk,242,gvpOCm2HF0g,pop
Wrecking Ball,Miley Cyrus,219,SjiA0OmE8zc,pop
Messy,Lola Young,264,k-k2_Liofy8,pop
We Can't Stop,Miley Cyrus,223,abYvzShMIS8,pop
Grenade,Bruno Mars,223,4YrzJ9RZ9qY,pop
Party In The U.S.A,Miley Cyrus,200,vA2Lc9c3qN0,pop
TiK ToK,Ke$ha,219,OF04pKp-r9o,pop
Don't Matter,Akon,229,JWA5hJl4Dv0,hip-hop
Lonely,Akon,202,JISlh7et1w4,hip-hop
Smack That,Akon ft. Eminem,243,bKDdT_nyP54,hip-hop
